Batch,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Compressive Strength
0,148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28,26.92
1,446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,52.01
2,250.0,0.0,95.7,191.8,5.3,948.9,857.2,3,8.49
3,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
4,222.4,0.0,96.7,189.3,4.5,967.1,870.3,3,11.58
5,355.0,19.0,97.0,145.0,13.1,967.0,871.0,28,44.03
6,178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
7,298.0,0.0,107.0,210.0,11.0,880.0,744.0,28,31.87
8,387.0,20.0,94.0,157.0,11.6,938.0,845.0,28,46.68
9,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
10,236.0,0.0,0.0,194.0,0.0,968.0,885.0,28,18.42
11,152.7,144.7,0.0,178.1,8.0,999.7,822.2,28,19.01
12,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,28,31.27
13,165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28,26.2
14,325.0,0.0,0.0,184.0,0.0,1063.0,783.0,28,30.57
15,210.7,316.1,0.0,185.7,0.0,977.0,689.3,7,21.82
16,157.0,236.0,0.0,192.0,0.0,935.4,781.2,7,16.89
17,149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.52
18,249.1,0.0,98.8,158.1,12.8,987.8,889.0,14,28.68
19,375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,45.7
20,480.0,0.0,0.0,192.0,0.0,936.2,712.2,90,54.32
21,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,56.5
22,145.9,230.5,0.0,202.5,3.4,827.0,871.8,28,32.72
23,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.12
24,374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09
25,439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,73.3
26,162.0,190.0,148.0,179.0,19.0,838.0,741.0,28,33.76
27,153.0,102.0,0.0,192.0,0.0,888.0,943.1,3,4.78
28,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90,37.91
29,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28,67.31
30,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
31,446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,61.07
32,102.0,153.0,0.0,192.0,0.0,887.0,942.0,90,25.46
33,296.0,0.0,106.7,221.4,10.5,819.2,778.4,28,31.42
34,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92
35,249.1,0.0,98.8,158.1,12.8,987.8,889.0,100,51.06
36,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
37,250.2,166.8,0.0,203.5,0.0,977.6,694.1,90,47.71
38,108.3,162.4,0.0,203.5,0.0,938.2,849.0,3,2.33
39,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,72.99
40,298.0,137.0,107.0,201.0,6.0,878.0,655.0,28,53.52
41,144.0,136.0,106.0,178.0,7.0,941.0,774.0,28,26.14
42,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
43,146.0,173.0,0.0,182.0,3.0,986.0,817.0,28,23.74
44,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,3,17.22
45,387.0,20.0,94.0,157.0,14.3,938.0,845.0,7,36.84
46,331.0,0.0,0.0,192.0,0.0,978.0,825.0,28,31.45
47,141.3,212.0,0.0,203.5,0.0,971.8,748.5,28,29.89
48,375.0,0.0,0.0,186.0,0.0,1038.0,758.0,28,38.21
49,491.0,26.0,123.0,210.0,3.9,882.0,699.0,7,33.49
50,356.0,0.0,142.0,193.0,11.0,801.0,778.0,28,40.87
51,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15
52,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
53,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,44.09
54,304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19
55,132.0,207.0,161.0,179.0,5.0,867.0,736.0,28,33.3
56,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.64
57,424.0,22.0,132.0,168.0,8.9,822.0,750.0,7,40.29
58,425.0,106.3,0.0,151.4,18.6,936.0,803.7,28,61.8
59,446.0,24.0,79.0,162.0,11.6,967.0,712.0,3,35.36
60,151.8,178.1,138.7,167.5,18.3,944.0,694.6,28,36.35
61,166.0,260.0,0.0,183.0,13.0,859.0,827.0,28,37.91
62,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.7
63,424.0,22.0,132.0,178.0,8.5,882.0,750.0,3,32.01
64,401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,75.5
65,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
66,213.5,0.0,174.2,159.2,11.7,1043.6,771.9,100,52.96
67,491.0,26.0,123.0,201.0,3.9,822.0,699.0,56,61.86
68,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,14,25.62
69,446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,51.02
70,250.2,166.8,0.0,203.5,0.0,977.6,694.1,7,19.35
71,136.0,162.0,126.0,172.0,10.0,923.0,764.0,28,29.07
72,148.0,0.0,182.0,181.0,15.0,839.0,884.0,28,15.52
73,133.1,210.2,0.0,195.7,3.1,949.4,795.3,28,28.94
74,388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,55.2
75,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
76,288.4,121.0,0.0,177.4,7.0,907.9,829.5,28,42.14
77,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,56,39.27
78,213.7,0.0,174.7,154.8,10.2,1053.5,776.4,14,33.73
79,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
80,446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,55.25
81,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99
82,284.0,15.0,141.0,179.0,5.5,842.0,801.0,3,13.4
83,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47
84,222.4,0.0,96.7,189.3,4.5,967.1,870.3,28,24.89
85,305.0,0.0,100.0,196.0,10.0,959.0,705.0,28,30.12
86,250.0,0.0,95.7,187.4,5.5,956.9,861.2,100,42.35
87,238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7,10.34
88,250.0,0.0,95.7,187.4,5.5,956.9,861.2,56,38.33
89,159.1,186.7,0.0,175.6,11.3,989.6,788.9,28,32.77
90,313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28,44.52
91,387.0,20.0,94.0,157.0,14.3,938.0,845.0,56,56.34
92,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05
93,238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28,17.54
94,135.0,0.0,166.0,180.0,10.0,961.0,805.0,28,13.29
95,200.0,133.0,0.0,192.0,0.0,965.4,806.2,7,17.17
96,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,14,38.77
97,339.0,0.0,0.0,197.0,0.0,968.0,781.0,7,20.97
98,183.9,122.6,0.0,203.5,0.0,959.2,800.0,90,32.53
99,255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7,17.24
100,326.5,0.0,137.9,199.0,10.8,801.1,792.5,28,38.63
101,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,56,47.13
102,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,21.54
103,200.0,133.0,0.0,192.0,0.0,965.4,806.2,3,11.41
104,249.1,0.0,98.8,158.1,12.8,987.8,889.0,28,30.85
105,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56,36.97
106,194.7,0.0,100.5,170.2,7.5,998.0,901.8,28,37.27
107,359.0,19.0,141.0,154.0,10.9,942.0,801.0,3,25.12
108,133.0,210.0,0.0,196.0,3.0,949.0,795.0,28,31.03
109,381.4,0.0,0.0,185.7,0.0,1104.6,784.3,7,14.54
110,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,3,11.98
111,424.0,22.0,132.0,178.0,8.5,822.0,750.0,56,65.7
112,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,3,7.32
113,295.7,0.0,95.6,171.5,8.9,955.1,859.2,56,48.72
114,425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3
115,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,100,33.56
116,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100,66.42
117,475.0,118.8,0.0,181.1,8.9,852.1,781.5,7,55.6
118,475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,68.3
119,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,28,24.9
120,194.7,0.0,100.5,170.2,7.5,998.0,901.8,56,43.39
121,141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
122,318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.5
123,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
124,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
125,374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28,39.05
126,350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.98
127,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,56,45.08
128,192.0,288.0,0.0,192.0,0.0,929.8,716.1,90,50.73
129,153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
130,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,56,42.7
131,133.0,200.0,0.0,192.0,0.0,927.4,839.2,7,13.66
132,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78
133,321.4,0.0,127.9,182.5,11.5,870.1,779.7,28,37.27
134,323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,80.2
135,375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0
136,296.0,0.0,0.0,186.0,0.0,1090.0,769.0,7,18.91
137,446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,56.14
138,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
139,212.0,141.3,0.0,203.5,0.0,973.4,750.0,28,33.0
140,159.0,149.0,116.0,175.0,15.0,953.0,720.0,28,27.68
141,139.9,132.6,103.3,200.3,7.4,916.0,753.4,28,36.44
142,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7,47.1
143,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
144,401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,54.1
145,321.0,0.0,128.0,182.0,11.0,870.0,780.0,28,37.26
146,491.0,26.0,123.0,201.0,3.9,822.0,699.0,28,57.92
147,266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,48.7
148,339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7,21.18
149,375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5
150,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
151,333.0,17.5,163.0,167.0,17.9,996.0,652.0,28,47.28
152,194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14,24.99
153,167.0,75.4,167.0,164.0,7.9,1007.3,770.1,14,32.9
154,116.0,173.0,0.0,192.0,0.0,909.8,891.9,7,10.09
155,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,3,41.64
156,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
157,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95
158,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
159,259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
160,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100,43.06
161,141.3,212.0,0.0,203.5,0.0,971.8,748.5,90,39.66
162,469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,54.9
163,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
164,400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7,30.14
165,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14,31.35
166,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72
167,310.0,0.0,0.0,192.0,0.0,970.0,850.0,360,38.11
168,314.0,145.0,113.0,179.0,8.0,869.0,690.0,28,46.23
169,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100,35.34
170,277.0,0.0,0.0,191.0,0.0,968.0,856.0,14,21.26
171,339.0,0.0,0.0,197.0,0.0,968.0,781.0,180,36.45
172,238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,26.91
173,146.5,114.6,89.3,201.9,8.8,860.0,829.5,28,19.99
174,385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,27.92
175,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,56,36.3
176,387.0,20.0,94.0,157.0,14.3,938.0,845.0,3,22.75
177,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
178,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13
179,289.0,134.0,0.0,195.0,6.0,924.0,760.0,28,46.24
180,528.0,0.0,0.0,185.0,6.9,920.0,720.0,28,56.83
181,439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,66.0
182,331.0,0.0,0.0,192.0,0.0,978.0,825.0,180,39.0
183,213.5,0.0,174.2,159.2,11.7,1043.6,771.9,28,44.64
184,166.0,259.7,0.0,183.2,12.7,858.8,826.8,28,37.92
185,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28,24.48
186,531.3,0.0,0.0,141.8,28.2,852.1,893.7,7,46.9
187,310.0,143.0,0.0,168.0,10.0,914.0,804.0,28,45.3
188,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28,33.73
189,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
190,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
191,387.0,20.0,94.0,157.0,11.6,938.0,845.0,7,41.67
192,173.0,116.0,0.0,192.0,0.0,946.8,856.8,28,24.28
193,255.3,98.8,77.0,188.6,6.5,919.0,749.3,28,33.8
194,393.0,0.0,0.0,192.0,0.0,940.6,785.6,7,27.74
195,310.0,0.0,0.0,192.0,0.0,970.0,850.0,90,34.68
196,446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,44.42
197,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,14,25.48
198,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
199,300.0,0.0,120.0,212.0,10.0,878.0,728.0,28,23.84
200,436.0,0.0,0.0,218.0,0.0,838.4,719.7,28,23.85
201,322.2,0.0,115.6,196.0,10.4,817.9,813.4,28,31.18
202,318.0,0.0,126.0,210.0,6.0,861.0,737.0,28,40.06
203,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
204,266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73
205,298.0,0.0,107.0,186.0,6.0,879.0,815.0,28,42.64
206,350.0,0.0,0.0,203.0,0.0,974.0,775.0,28,27.34
207,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,28,29.65
208,323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8
209,212.0,141.3,0.0,203.5,0.0,973.4,750.0,90,39.7
210,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
211,236.0,0.0,0.0,193.0,0.0,968.0,885.0,180,24.1
212,322.0,149.0,0.0,186.0,8.0,951.0,709.0,28,52.42
213,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1
214,331.0,0.0,0.0,192.0,0.0,879.0,825.0,3,13.52
215,143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,29.72
216,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,56,28.63
217,290.4,0.0,96.2,168.1,9.4,961.2,865.0,3,22.5
218,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
219,520.0,0.0,0.0,170.0,5.2,855.0,855.0,28,60.28
220,289.0,0.0,0.0,192.0,0.0,913.2,895.3,7,14.6
221,135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7,7.51
222,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
223,387.0,20.0,94.0,157.0,14.3,938.0,845.0,28,50.24
224,162.0,207.0,172.0,216.0,10.0,822.0,638.0,28,39.84
225,401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,68.5
226,298.0,0.0,107.0,164.0,13.0,953.0,784.0,28,35.86
227,178.0,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
228,359.0,19.0,141.0,154.0,10.9,942.0,801.0,56,66.78
229,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
230,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7,17.24
231,236.0,0.0,0.0,194.0,0.0,968.0,885.0,90,21.95
232,266.0,112.0,87.0,178.0,10.0,910.0,745.0,28,39.42
233,148.5,139.4,108.6,192.7,6.1,892.4,780.0,28,23.7
234,150.0,236.8,0.0,173.8,11.9,1069.3,674.8,28,37.43
235,170.3,155.5,0.0,185.7,0.0,1026.6,724.3,28,25.73
236,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.8
237,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,3,21.91
238,350.0,0.0,0.0,203.0,0.0,974.0,775.0,7,18.13
239,331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,16.26
240,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
241,233.8,0.0,94.6,197.9,4.6,947.0,852.2,100,34.56
242,277.1,0.0,97.4,160.6,11.8,973.9,875.6,100,55.64
243,333.0,0.0,0.0,192.0,0.0,931.2,842.6,28,31.97
244,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
245,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29
246,284.0,120.0,0.0,168.0,7.0,970.0,794.0,28,40.93
247,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1
248,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,100,58.61
249,325.6,166.4,0.0,174.0,8.9,881.6,790.0,28,61.24
250,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90,40.66
251,310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87
252,336.5,0.0,0.0,181.9,3.4,985.8,816.8,28,44.87
253,151.0,0.0,185.0,167.0,16.0,1074.0,678.0,28,13.46
254,339.0,0.0,0.0,197.0,0.0,968.0,781.0,28,32.04
255,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72
256,148.0,0.0,137.0,158.0,16.0,1002.0,830.0,28,17.95
257,397.0,17.2,158.0,167.0,20.8,967.0,633.0,28,55.65
258,203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7,11.96
259,389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.6
260,307.0,0.0,0.0,193.0,0.0,968.0,812.0,28,27.53
261,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7,9.01
262,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56,35.34
263,480.0,0.0,0.0,192.0,0.0,936.0,721.0,28,43.89
264,165.0,0.0,143.6,163.8,0.0,1005.6,900.9,56,36.56
265,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,360,42.13
266,500.1,0.0,0.0,200.0,3.0,1124.4,613.2,28,44.13
267,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,56,44.14
268,203.5,135.7,0.0,185.7,0.0,1076.2,759.3,28,22.63
269,295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28,25.18
270,425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.8
271,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,56,35.57
272,154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28,12.46
273,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54
274,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14,36.99
275,277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,32.33
276,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28,40.23
277,154.0,144.0,112.0,220.0,10.0,923.0,658.0,28,16.5
278,475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28,57.23
279,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,180,61.92
280,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56,64.9
281,250.0,180.0,95.0,159.0,9.5,860.0,800.0,28,67.87
282,252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
283,295.8,0.0,0.0,185.7,0.0,1091.4,769.3,7,14.84
284,220.8,147.2,0.0,185.7,0.0,1055.0,744.3,7,13.09
285,164.2,0.0,200.1,181.2,12.6,849.3,846.0,28,15.09
286,144.0,170.0,133.0,192.0,8.0,814.0,805.0,28,29.87
287,295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23
288,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23
289,326.0,166.0,0.0,174.0,9.0,882.0,790.0,28,61.23
290,333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,15.62
291,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3
292,155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28,37.36
293,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14,59.76
294,238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7,15.69
295,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3,13.33
296,298.1,0.0,107.0,186.4,6.1,879.0,815.2,28,42.64
297,359.0,19.0,141.0,154.0,10.9,942.0,801.0,56,68.75
298,141.3,212.0,0.0,203.5,0.0,971.8,748.5,7,10.39
299,143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
300,153.0,145.0,113.0,178.0,8.0,1002.0,689.0,28,25.56
301,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
302,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,3,23.52
303,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56,34.2
304,102.0,153.0,0.0,192.0,0.0,887.0,942.0,3,4.57
305,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,3,11.85
306,295.7,0.0,95.6,171.5,8.9,955.1,859.2,3,22.95
307,318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4
308,173.0,116.0,0.0,192.0,0.0,946.8,856.8,7,11.39
309,147.0,115.0,89.0,202.0,9.0,860.0,829.0,28,19.99
310,122.6,183.9,0.0,203.5,0.0,958.2,800.1,7,10.35
311,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18.0
312,321.3,164.2,0.0,190.5,4.6,870.0,774.0,28,57.22
313,500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28,69.84
314,212.0,141.3,0.0,203.5,0.0,973.4,750.0,3,6.81
315,200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7,7.84
316,213.5,0.0,174.2,159.2,11.7,1043.6,771.9,56,51.26
317,166.8,250.2,0.0,203.5,0.0,975.6,692.6,90,43.57
318,480.0,0.0,0.0,192.0,0.0,936.2,712.2,28,43.94
319,288.0,121.0,0.0,177.0,7.0,908.0,829.0,28,42.13
320,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,35.76
321,141.3,212.0,0.0,203.5,0.0,971.8,748.5,3,4.83
322,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3,21.02
323,290.4,0.0,96.2,168.1,9.4,961.2,865.0,28,34.74
324,225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28,17.34
325,254.0,0.0,0.0,198.0,0.0,968.0,863.0,365,29.79
326,122.6,183.9,0.0,203.5,0.0,958.2,800.1,28,24.29
327,309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
328,393.0,0.0,0.0,192.0,0.0,940.6,785.6,28,39.6
329,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56,60.32
330,162.0,214.0,164.0,202.0,10.0,820.0,680.0,28,30.65
331,122.6,183.9,0.0,203.5,0.0,958.2,800.1,90,33.19
332,313.0,145.0,0.0,178.0,8.0,867.0,824.0,28,44.39
333,388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7
334,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100,39.61
335,157.0,236.0,0.0,192.0,0.0,935.4,781.2,90,43.38
336,156.0,243.0,0.0,180.0,11.0,1022.0,698.0,28,37.36
337,401.8,94.7,0.0,147.4,11.4,946.8,852.1,56,73.7
338,238.1,0.0,94.1,186.7,7.0,949.9,847.0,28,30.23
339,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,3,13.62
340,313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28,36.8
341,304.8,0.0,99.6,196.0,9.8,959.4,705.2,28,30.12
342,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
343,290.4,0.0,96.2,168.1,9.4,961.2,865.0,100,48.97
344,298.1,0.0,107.5,163.6,12.8,953.2,784.0,28,35.87
345,337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,35.1
346,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
347,145.0,0.0,179.0,202.0,8.0,824.0,869.0,28,10.54
348,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
